AdTypeID;AdvertisedAppIsAutoPromoAllowed;AdvertisedAppOrientation;AdvertisedAppTotalRevenue;AdvertisedAppType;AllowCPABid;AllowCPCBid;AllowCPIBid;AllowCPMBid;AmountEuros;AppAdvertisedID;AppOriginCategoryID;AppOriginID;CampTypeDescription;CompletionRate;ConnTypeName;CostPerClickBid;CostPerDownloadBid;CostPerViewBid;CountryDescription;CountryName;CPMBid;DailyFrequencyCap;DisplayRank;earnings;EndDate;ID;IsPublisherCompany;IsS2SIntegration;IsWebFilterAvailable;nbClicks;NbCrossPromoDisplaysEarned;NbCrossPromoDisplaysLeft;nbCVVs;nbDisplays;nbInstalls;nbLeads;nbNewUsers;nbRequests;nbSessions;Priority;PublisherID;spendings;StartDate;StatTime;OriginalAppType;OriginalAppOrientation;OriginalAppTotalRevenue;FillRate;CPI;CPM
6;4;1;0;2;1;1;1;1;0;2082;11;2241;Banners (in-app);0;Hspa (3G+);0,004;0;0;;CANADA;0;-1;1;0;06/10/2020 00:00;2187;1;0;1;0;0;0;0;97;0;0;0;97;0;0;906;0;06/10/2015 00:00;25/01/2016 00:00;1;3;7751,88;100;0;0
6;4;1;0;2;1;1;1;1;0;2201;11;2241;Banners (in-app);0;Hspa (3G+);0,013;0;0;;CANADA;0;-1;1;0;06/10/2020 00:00;2210;1;0;1;0;0;0;0;88;0;0;0;88;0;0;906;0;08/11/2015 00:00;25/01/2016 00:00;1;3;7751,88;100;0;0
7;4;1;0,56;2;1;1;1;1;0;1784;11;2241;Full screen interstitial (in-app);0;Hspa (3G+);0,01;0;0;;MEXICO;0;-1;1;0;02/09/2016 00:00;2214;1;0;1;0;0;0;0;2;0;0;0;2;0;0;906;0;01/09/2015 00:00;25/01/2016 00:00;1;3;7751,88;100;0;0
7;4;1;0,56;2;1;1;1;1;0;1784;11;2241;Full screen interstitial (in-app);0;Hspa (3G+);0,01;0;0;;BELGIUM;0;-1;1;0;02/09/2016 00:00;2214;1;0;1;0;0;0;0;1;0;0;0;1;0;0;906;0;01/09/2015 00:00;25/01/2016 00:00;1;3;7751,88;100;0;0
6;4;1;0;2;1;1;1;1;0;2201;11;2241;Banners (in-app);0;Hspa (3G+);0,013;0;0;;CANADA;0;-1;1;0;06/10/2020 00:00;2223;1;0;1;0;0;0;0;101;0;0;0;101;0;0;906;0;08/11/2015 00:00;25/01/2016 00:00;1;3;7751,88;100;0;0
3;4;1;0;2;1;1;1;1;0;2229;11;2241;Full screen interstitial (in-app);0;Hspa (3G+);0;0;0;;SWITZERLAND;0;2;1;0;01/01/2100 00:00;2258;1;0;1;0;0;0;0;1;0;0;0;1;0;0;906;0;23/11/2015 00:00;25/01/2016 00:00;1;3;7751,88;100;0;0
3;4;1;0;2;1;1;1;1;0;2229;11;2241;Full screen interstitial (in-app);0;Hspa (3G+);0;0;0;;AUSTRIA;0;2;1;0;01/01/2100 00:00;2258;1;0;1;0;0;0;0;2;0;0;0;2;0;0;906;0;23/11/2015 00:00;25/01/2016 00:00;1;3;7751,88;100;0;0
3;4;1;0;2;1;1;1;1;0;2229;11;2241;Full screen interstitial (in-app);0;Hspa (3G+);0;0;0;;GERMANY;0;2;1;0;01/01/2100 00:00;2258;1;0;1;0;0;0;0;12;0;0;0;12;0;0;906;0;23/11/2015 00:00;25/01/2016 00:00;1;3;7751,88;100;0;0
3;4;1;0;2;1;1;1;1;0;2229;11;2241;Full screen interstitial (in-app);0;Edge (2.5G);0;0;0;;SWITZERLAND;0;2;1;0;01/01/2100 00:00;2258;1;0;1;1;0;0;0;0;0;0;0;0;0;0;906;0;23/11/2015 00:00;25/01/2016 00:00;1;3;7751,88;0;0;0
3;4;1;0;2;1;1;1;1;0;2229;11;2241;Full screen interstitial (in-app);0;WIFI;0;0;0;;UNITED STATES;0;2;1;0;23/11/2016 00:00;2260;1;0;1;5;0;0;0;0;0;0;0;0;0;0;906;0;23/11/2015 00:00;25/01/2016 00:00;1;3;7751,88;0;0;0
3;4;1;0;2;1;1;1;1;0;2229;11;2241;Full screen interstitial (in-app);0;Hspa (3G+);0;0;0;;UNITED STATES;0;2;1;0;23/11/2016 00:00;2260;1;0;1;0;0;0;0;108;0;0;0;108;0;0;906;0;23/11/2015 00:00;25/01/2016 00:00;1;3;7751,88;100;0;0
3;4;1;0;2;1;1;1;1;0;2230;11;2241;Full screen interstitial (in-app);0;Hspa (3G+);0;0;0;;REST OF EUROPE;0;2;1;0;01/01/2100 00:00;2284;1;0;1;0;0;0;0;1;0;0;0;1;0;0;906;0;26/11/2015 00:00;25/01/2016 00:00;1;3;7751,88;100;0;0
3;4;1;0;2;1;1;1;1;0;2230;11;2241;Full screen interstitial (in-app);0;Hspa (3G+);0;0;0;;PORTUGAL;0;2;1;0;01/01/2100 00:00;2286;1;0;1;0;0;0;0;3;0;0;0;3;0;0;906;0;26/11/2015 00:00;25/01/2016 00:00;1;3;7751,88;100;0;0
3;4;1;0;2;1;1;1;1;0;2229;11;2241;Full screen interstitial (in-app);0;Hspa (3G+);0;0;0;;CZECH REPUBLIC;0;2;1;0;01/01/2100 00:00;2383;1;0;1;0;0;0;0;2;0;0;0;2;0;0;906;0;21/12/2015 00:00;25/01/2016 00:00;1;3;7751,88;100;0;0
3;4;1;0;2;1;1;1;1;0;2229;11;2241;Full screen interstitial (in-app);0;Hspa (3G+);0;0;0;;DENMARK;0;2;1;0;01/01/2100 00:00;2385;1;0;1;0;0;0;0;5;0;0;0;5;0;0;906;0;21/12/2015 00:00;25/01/2016 00:00;1;3;7751,88;100;0;0
6;4;1;0;2;1;1;1;1;0;2316;11;2241;Banners (in-app);0;WIFI;0;0;0;;UNITED STATES;0,3;2;1;0;06/10/2020 00:00;2401;1;0;1;239;0;0;0;0;0;0;0;0;0;0;906;0;08/11/2015 00:00;26/01/2016 00:00;1;3;7751,88;0;0;0
6;4;1;0;2;1;1;1;1;0;2316;11;2241;Banners (in-app);0;WIFI;0;0;0;;UNITED STATES;0,3;2;1;0;06/10/2020 00:00;2401;1;0;1;54;0;0;0;0;0;0;0;0;0;0;906;0;08/11/2015 00:00;25/01/2016 00:00;1;3;7751,88;0;0;0
6;4;1;0;2;1;1;1;1;0;2316;11;2241;Banners (in-app);0;Edge (2.5G);0;0;0;;UNITED STATES;0,3;2;1;0;06/10/2020 00:00;2401;1;0;1;47;0;0;0;0;0;0;0;0;0;0;906;0;08/11/2015 00:00;26/01/2016 00:00;1;3;7751,88;0;0;0
6;4;1;0;2;1;1;1;1;0;2316;11;2241;Banners (in-app);0;Hspa (3G+);0;0;0;;UNITED STATES;0,3;2;1;0;06/10/2020 00:00;2401;1;0;1;1;0;0;0;96096;0;0;0;96096;0;0;906;0;08/11/2015 00:00;26/01/2016 00:00;1;3;7751,88;100;0;0
6;4;1;0;2;1;1;1;1;0;2316;11;2241;Banners (in-app);0;Hspa (3G+);0;0;0;;UNITED STATES;0,3;2;1;0;06/10/2020 00:00;2401;1;0;1;0;0;0;0;8789;0;0;0;8789;0;0;906;0;08/11/2015 00:00;25/01/2016 00:00;1;3;7751,88;100;0;0
6;4;1;0;2;1;1;1;1;0;2316;11;2241;Banners (in-app);0;Edge (2.5G);0;0;0;;UNITED STATES;0,3;2;1;0;06/10/2020 00:00;2401;1;0;1;18;0;0;0;0;0;0;0;0;0;0;906;0;08/11/2015 00:00;25/01/2016 00:00;1;3;7751,88;0;0;0
3;4;1;0;2;1;1;1;1;0;2324;11;2241;Full screen interstitial (in-app);0;WIFI;0;0;0;;FRANCE;0;2;1;0;10/01/2017 00:00;2427;1;0;1;1;0;0;0;0;0;0;0;0;0;0;906;0;10/01/2016 00:00;25/01/2016 00:00;1;3;7751,88;0;0;0
3;4;1;0;2;1;1;1;1;0;2324;11;2241;Full screen interstitial (in-app);0;Hspa (3G+);0;0;0;;FRANCE;0;2;1;0;10/01/2017 00:00;2427;1;0;1;0;0;0;0;10;0;0;0;10;0;0;906;0;10/01/2016 00:00;25/01/2016 00:00;1;3;7751,88;100;0;0
3;4;1;0;2;1;1;1;1;0;2324;11;2241;Full screen interstitial (in-app);0;Hspa (3G+);0;0;0;;SWITZERLAND;0;2;1;0;10/01/2017 00:00;2428;1;0;1;0;0;0;0;1;0;0;0;1;0;0;906;0;10/01/2016 00:00;25/01/2016 00:00;1;3;7751,88;100;0;0
3;4;1;0;2;1;1;1;1;0;2324;11;2241;Full screen interstitial (in-app);0;Hspa (3G+);0;0;0;;AUSTRIA;0;2;1;0;10/01/2017 00:00;2428;1;0;1;0;0;0;0;1;0;0;0;1;0;0;906;0;10/01/2016 00:00;25/01/2016 00:00;1;3;7751,88;100;0;0
3;4;1;0;2;1;1;1;1;0;2324;11;2241;Full screen interstitial (in-app);0;Hspa (3G+);0;0;0;;GERMANY;0;2;1;0;10/01/2017 00:00;2428;1;0;1;0;0;0;0;19;0;0;0;19;0;0;906;0;10/01/2016 00:00;25/01/2016 00:00;1;3;7751,88;100;0;0
3;4;1;0;2;1;1;1;1;0;2324;11;2241;Full screen interstitial (in-app);0;Hspa (3G+);0;0;0;;GERMANY;0;2;1;0;11/01/2017 00:00;2433;1;0;1;0;0;0;0;21;0;0;0;21;0;0;906;0;11/01/2016 00:00;25/01/2016 00:00;1;3;7751,88;100;0;0
3;4;1;0;2;1;1;1;1;0;2324;11;2241;Full screen interstitial (in-app);0;Hspa (3G+);0;0;0;;SWITZERLAND;0;2;1;0;11/01/2017 00:00;2433;1;0;1;0;0;0;0;1;0;0;0;1;0;0;906;0;11/01/2016 00:00;25/01/2016 00:00;1;3;7751,88;100;0;0
3;4;1;0;2;1;1;1;1;0;2324;11;2241;Full screen interstitial (in-app);0;Edge (2.5G);0;0;0;;GERMANY;0;2;1;0;11/01/2017 00:00;2433;1;0;1;1;0;0;0;0;0;0;0;0;0;0;906;0;11/01/2016 00:00;25/01/2016 00:00;1;3;7751,88;0;0;0
3;4;1;0;2;1;1;1;1;0;2324;11;2241;Full screen interstitial (in-app);0;WIFI;0;0;0;;GERMANY;0;2;1;0;11/01/2017 00:00;2433;1;0;1;1;0;0;0;0;0;0;0;0;0;0;906;0;11/01/2016 00:00;25/01/2016 00:00;1;3;7751,88;0;0;0
3;4;1;0;2;1;1;1;1;0;2324;11;2241;Full screen interstitial (in-app);0;Hspa (3G+);0;0;0;;POLAND;0;2;1;0;11/01/2017 00:00;2434;1;0;1;0;0;0;0;3;0;0;0;3;0;0;906;0;11/01/2016 00:00;25/01/2016 00:00;1;3;7751,88;100;0;0
3;4;1;0;2;1;1;1;1;0;2324;11;2241;Full screen interstitial (in-app);0;WIFI;0;0;0;;POLAND;0;2;1;0;11/01/2017 00:00;2434;1;0;1;1;0;0;0;0;0;0;0;0;0;0;906;0;11/01/2016 00:00;25/01/2016 00:00;1;3;7751,88;0;0;0
3;4;1;0;2;1;1;1;1;0;2324;11;2241;Full screen interstitial (in-app);0;Hspa (3G+);0;0;0;;RUSSIAN FEDERATION;0;2;1;0;11/01/2017 00:00;2435;1;0;1;0;0;0;0;1;0;0;0;1;0;0;906;0;11/01/2016 00:00;25/01/2016 00:00;1;3;7751,88;100;0;0
